GENE	CHR	START	END
TRPC7	chr5	135548433	135701233
SPOCK1	chr5	136310987	136934068
KLHL3	chr5	136953189	137071910
HNRNPA0	chr5	137081340	137090052
MYOT	chr5	137203547	137223540
PKD2L2	chr5	137223657	137278436
FAM13B	chr5	137273649	137387650
WNT8A	chr5	137419679	137428054
NME5	chr5	137450858	137475132
BRD8	chr5	137475459	137514642
KIF20A	chr5	137514408	137523860
CDC23	chr5	137523333	137549032
GFRA3	chr5	137588069	137610310
CDC25C	chr5	137620940	137674044
FAM53C	chr5	137667624	137685418
KDM3B	chr5	137688370	137772717
REEP2	chr5	137774677	137782658
EGR1	chr5	137801168	137804992
ETF1	chr5	137841782	137878928
HSPA9	chr5	137889445	137911364
CTNNA1	chr5	137946656	138270728
LRRTM2	chr5	138204610	138211057
SIL1	chr5	138282409	138629246
MATR3	chr5	138609441	138667366
PAIP2	chr5	138677276	138705409
SLC23A1	chr5	138702885	138721184
MZB1	chr5	138723156	138725770
PROB1	chr5	138726281	138730793
SPATA24	chr5	138732252	138739778
DNAJC18	chr5	138744277	138780180
ECSCR	chr5	138784245	138842328
SMIM33	chr5	138850589	138853285
AC138517.1	chr5	138852108	138852506
STING1	chr5	138855113	138862520
UBE2D2	chr5	138906016	139008019
CXXC5	chr5	139025960	139063467
PSD2	chr5	139175393	139224055
NRG2	chr5	139226364	139422884
PURA	chr5	139487362	139505204
IGIP	chr5	139505522	139508977
CYSTM1	chr5	139554657	139661637
PFDN1	chr5	139624620	139682698
HBEGF	chr5	139712428	139726199
SLC4A9	chr5	139739773	139754728
ANKHD1	chr5	139781245	139920753
ANKHD1-EIF4EBP3	chr5	139781493	139929154
SRA1	chr5	139916925	139937262
EIF4EBP3	chr5	139927247	139929161
APBB3	chr5	139937853	139944366
ENSG00000293600	chr5	139944031	139948685
SLC35A4	chr5	139944404	139948685
CD14	chr5	140011313	140013285
NDUFA2	chr5	140018325	140027356
TMCO6	chr5	140019012	140025386
IK	chr5	140026643	140042065
WDR55	chr5	140044453	140053709
DND1	chr5	140050379	140053161
HARS1	chr5	140052620	140071122
HARS2	chr5	140071015	140078893
ZMAT2	chr5	140078265	140086271
PCDHA1	chr5	140165721	140391932
PCDHA2	chr5	140174437	140391932
PCDHA3	chr5	140180613	140391932
PCDHA4	chr5	140186622	140391932
PCDHA5	chr5	140201189	140391932
PCDHA6	chr5	140207563	140391929
PCDHA7	chr5	140213969	140391929
PCDHA8	chr5	140220772	140391932
PCDHA9	chr5	140227357	140391932
PCDHA10	chr5	140235468	140391932
AC005609.1	chr5	140240341	140243224
PCDHA11	chr5	140247768	140391932
PCDHA12	chr5	140254887	140391932
PCDHA13	chr5	140261709	140391932
PCDHAC1	chr5	140305884	140391932
PCDHAC2	chr5	140346055	140391932
PCDHB1	chr5	140430959	140438931
PCDHB2	chr5	140474191	140478287
PCDHB3	chr5	140480057	140483411
PCDHB4	chr5	140501400	140505205
PCDHB5	chr5	140514788	140518197
PCDHB6	chr5	140529638	140532868
PCDHB7	chr5	140552225	140555964
PCDHB8	chr5	140557371	140561944
PCDHB16	chr5	140561962	140565801
PCDHB9	chr5	140566701	140571114
PCDHB10	chr5	140571926	140575220
PCDHB11	chr5	140579183	140583352
PCDHB12	chr5	140588269	140592143
PCDHB13	chr5	140593491	140598551
PCDHB14	chr5	140602915	140607331
ENSG00000279983	chr5	140602944	140625429
PCDHB15	chr5	140624963	140628933
TAF7	chr5	140639452	140700351
SLC25A2	chr5	140682202	140683616
PCDHGA1	chr5	140710081	140892542
PCDHGA2	chr5	140718327	140892542
PCDHGA3	chr5	140723396	140892542
PCDHGB1	chr5	140729666	140892542
PCDHGA4	chr5	140734588	140892542
PCDHGB2	chr5	140739561	140892542
PCDHGA5	chr5	140743729	140892542
PCDHGB3	chr5	140749809	140892542
PCDHGA6	chr5	140753458	140892542
PCDHGA7	chr5	140762306	140892542
PCDHGB4	chr5	140767265	140892542
PCDHGA8	chr5	140769724	140892542
PCDHGB5	chr5	140777514	140892542
PCDHGA9	chr5	140782345	140892542
PCDHGB6	chr5	140787588	140892542
PCDHGA10	chr5	140792554	140892542
PCDHGB7	chr5	140797212	140892542
PCDHGA11	chr5	140800614	140892542
PCDHGA12	chr5	140810074	140892542
PCDHGC3	chr5	140855514	140892544
PCDHGC4	chr5	140864564	140892542
PCDHGC5	chr5	140868648	140892542
DIAPH1	chr5	140894583	140998622
HDAC3	chr5	141000345	141016434
RELL2	chr5	141016517	141020631
FCHSD1	chr5	141018869	141030997
ARAP3	chr5	141032807	141061822
PCDH1	chr5	141232655	141258811
DELE1	chr5	141303384	141326484
PCDH12	chr5	141323146	141349306
RNF14	chr5	141337893	141369857
GNPDA1	chr5	141371314	141392622
NDFIP1	chr5	141488327	141534005
SPRY4	chr5	141689985	141706020
FGF1	chr5	141971731	142077635
ARHGAP26	chr5	142149942	142608576
NR3C1	chr5	142657496	142815077
HMHB1	chr5	143191712	143200281
YIPF5	chr5	143537726	143550278
KCTD16	chr5	143550437	143865249
PRELID2	chr5	144851362	145214932
GRXCR2	chr5	145238084	145316689
SH3RF2	chr5	145315988	145465539
PLAC8L1	chr5	145463876	145485140
LARS1	chr5	145490129	145562259
RBM27	chr5	145583113	145668786
ENSG00000275740	chr5	145583113	145718814
POU4F3	chr5	145718211	145721291
TCERG1	chr5	145826874	145891526
GPR151	chr5	145892707	145895753
PPP2R2B	chr5	145960305	146464347
STK32A	chr5	146614526	146767418
DPYSL3	chr5	146770371	146889652
JAKMIP2	chr5	146965001	147162338
SPINK1	chr5	147204135	147211234
SCGB3A2	chr5	147249363	147261760
C5orf46	chr5	147259195	147286101
SPINK5	chr5	147405246	147516945
SPINK14	chr5	147548109	147555182
SPINK6	chr5	147582357	147594700
MARCOL	chr5	147601213	147623143
SPINK13	chr5	147647743	147665818
SPINK7	chr5	147691982	147695485
SPINK9	chr5	147700766	147719415
FBXO38	chr5	147763389	147822413
HTR4	chr5	147825605	148056798
ADRB2	chr5	148206174	148208186
SH3TC2	chr5	148303202	148442726
ABLIM3	chr5	148521046	148640105
AFAP1L1	chr5	148651386	148723200
GRPEL2	chr5	148724993	148734146
PCYOX1L	chr5	148737565	148749216
IL17B	chr5	148750887	148783765
CSNK1A1	chr5	148872545	148931034
ARHGEF37	chr5	148931510	149014531
PPARGC1B	chr5	149109557	149234585
PDE6A	chr5	149237516	149324850
SLC26A2	chr5	149340321	149373018
TIGD6	chr5	149372681	149380217
HMGXB3	chr5	149379609	149432705
CSF1R	chr5	149432854	149492935
PDGFRB	chr5	149493402	149537823
CDX1	chr5	149546341	149564121
SLC6A7	chr5	149569625	149602351
CAMK2A	chr5	149599054	149669656
ARSI	chr5	149675906	149718870
TCOF1	chr5	149737192	149780054
CD74	chr5	149781200	149792532
RPS14	chr5	149822198	149829515
NDST1	chr5	149865211	149937773
SYNPO	chr5	149980642	150038770
MYOZ3	chr5	150040012	150059584
RBM22	chr5	150070354	150080639
DCTN4	chr5	150086402	150138657
SMIM3	chr5	150158303	150176298
IRGM	chr5	150226083	150280298
ZNF300	chr5	150273954	150284545
GPX3	chr5	150400152	150408549
TNIP1	chr5	150409500	150473138
ANXA6	chr5	150480267	150537376
CCDC69	chr5	150560613	150603685
GM2A	chr5	150591711	150650001
SLC36A3	chr5	150655919	150683327
SLC36A2	chr5	150694533	150727151
SLC36A1	chr5	150816607	150871940
FAT2	chr5	150883653	150970892
SPARC	chr5	151040657	151066913
ATOX1	chr5	151117645	151152093
G3BP1	chr5	151150512	151192472
GLRA1	chr5	151202074	151304412
NMUR2	chr5	151771103	151812929
GRIA1	chr5	152869175	153193429
FAM114A2	chr5	153369708	153418496
MFAP3	chr5	153418519	153600038
GALNT10	chr5	153570074	153800544
SAP30L	chr5	153825557	153840613
HAND1	chr5	153854529	153857916
LARP1	chr5	154062546	154197165
FAXDC2	chr5	154198052	154238812
CNOT8	chr5	154237089	154256353
GEMIN5	chr5	154266971	154317771
MRPL22	chr5	154320633	154348971
KIF4B	chr5	154393315	154397701
SGCD	chr5	155297354	156194799
PPP1R2B	chr5	156277306	156279539
TIMD4	chr5	156346303	156390237
HAVCR1	chr5	156452950	156496407
HAVCR2	chr5	156512433	156569880
MED7	chr5	156564435	156586030
ITK	chr5	156569944	156682195
GARIN3	chr5	156588857	156593275
CYFIP2	chr5	156693089	156822603
ENSG00000285868	chr5	156768604	156887108
FNDC9	chr5	156768606	156772685
ADAM19	chr5	156822542	157002866
NIPAL4	chr5	156887221	156901730
SOX30	chr5	157052687	157098488
C5orf52	chr5	157098541	157107166
THG1L	chr5	157158420	157168457
AC026407.1	chr5	157160003	157161727
LSM11	chr5	157170720	157187717
CLINT1	chr5	157212751	157286177
EBF1	chr5	158122928	158526959
RNF145	chr5	158584417	158637061
UBLCP1	chr5	158690293	158713045
IL12B	chr5	158741788	158757871
ADRA1B	chr5	159292087	159400019
TTC1	chr5	159436107	159492557
PWWP2A	chr5	159488808	159546485
FABP6	chr5	159614370	159665742
CCNJL	chr5	159676090	159772403
C1QTNF2	chr5	159774761	159797652
FAM200C	chr5	159820155	159827098
SLU7	chr5	159828648	159848718
PTTG1	chr5	159848823	159855755
ATP10B	chr5	159990127	160279221
GABRB2	chr5	160715436	160976050
GABRA6	chr5	160974069	161129599
GABRA1	chr5	161274069	161326987
GABRG2	chr5	161427063	161589983
CCNG1	chr5	162864575	162875205
NUDCD2	chr5	162873532	162887410
HMMR	chr5	162887209	162918951
MAT2B	chr5	162930120	162946564
TENM2	chr5	166406034	167691162
WWC1	chr5	167718568	167899308
RARS1	chr5	167913452	167946311
FBLL1	chr5	167956310	167957639
PANK3	chr5	167975500	168006605
SLIT3	chr5	168088745	168728143
SPDL1	chr5	169010636	169031782
DOCK2	chr5	169064253	169510386
INSYN2B	chr5	169288307	169407499
FOXI1	chr5	169532901	169536738
C5orf58	chr5	169656108	169679579
LCP2	chr5	169673237	169724824
KCNIP1	chr5	169780491	170163636
KCNMB1	chr5	169801675	169816659
GABRP	chr5	170190354	170241051
RANBP17	chr5	170288874	170727019
TLX3	chr5	170736252	170739143
NPM1	chr5	170814090	170838814
FGF18	chr5	170846649	170884630
SMIM23	chr5	171209436	171223130
FBXW11	chr5	171288552	171433877
STK10	chr5	171469083	171615336
EFCAB9	chr5	171621176	171630458
UBTD2	chr5	171636649	171711081
SH3PXD2B	chr5	171752004	171881535
NEURL1B	chr5	172068251	172118543
DUSP1	chr5	172193995	172198201
ERGIC1	chr5	172261254	172379795
RPL26L1	chr5	172381007	172401771
ATP6V0E1	chr5	172410774	172462448
CREBRF	chr5	172483355	172566287
BNIP1	chr5	172571445	172591400
NKX2-5	chr5	172659112	172662314
STC2	chr5	172741726	172755450
BOD1	chr5	173034148	173043662
CPEB4	chr5	173315352	173388983
C5orf47	chr5	173400782	173433143
NSG2	chr5	173472709	173670504
MSX2	chr5	174151585	174157899
DRD1	chr5	174867030	174871797
SFXN1	chr5	174904065	174956745
HRH2	chr5	175084800	175137759
CPLX2	chr5	175223309	175311025
THOC3	chr5	175343680	175461683
ENSG00000289731	chr5	175485720	175586274
SIMC1	chr5	175665370	175772994
KIAA1191	chr5	175766653	175793462
ARL10	chr5	175792490	175828866
NOP16	chr5	175810936	175815928
HIGD2A	chr5	175815752	175816762
CLTB	chr5	175819495	175843558
FAF2	chr5	175874629	175937076
RNF44	chr5	175953701	175965026
CDHR2	chr5	175969512	176023285
GPRIN1	chr5	176022803	176037178
SNCB	chr5	176047083	176057673
EIF4E1B	chr5	176057583	176073645
TSPAN17	chr5	176074388	176086059
UNC5A	chr5	176237506	176307899
HK3	chr5	176307821	176326438
UIMC1	chr5	176329227	176449637
ZNF346	chr5	176449697	176508202
FGFR4	chr5	176513457	176525152
NSD1	chr5	176558788	176727214
RAB24	chr5	176728199	176730745
MXD3	chr5	176728462	176739758
PRELID1	chr5	176730791	176733950
LMAN2	chr5	176742806	176778841
RGS14	chr5	176784896	176799599
SLC34A1	chr5	176806236	176825849
PFN3	chr5	176827110	176827662
F12	chr5	176829134	176843584
GRK6	chr5	176830205	176869902
PRR7	chr5	176873446	176883292
DBN1	chr5	176883608	176901402
PDLIM7	chr5	176910394	176924609
DOK3	chr5	176928905	176938275
DDX41	chr5	176938570	176943980
FAM193B	chr5	176946789	176981587
TMED9	chr5	177019196	177024243
B4GALT7	chr5	177027115	177038057
FAM153A	chr5	177134982	177211436
PROP1	chr5	177419236	177423243
FAM153CP	chr5	177433349	177513530
N4BP3	chr5	177540168	177554035
RMND5B	chr5	177556069	177579241
NHP2	chr5	177576460	177580962
GMCL2	chr5	177611506	177614372
HNRNPAB	chr5	177631480	177638184
PHYKPL	chr5	177634145	177660209
COL23A1	chr5	177664477	178017394
CLK4	chr5	178029665	178057616
MSANTD5	chr5	178121573	178124762
ENSG00000285978	chr5	178121606	178156336
ZNF354A	chr5	178138513	178159382
ZNF354B	chr5	178286954	178315123
ZFP2	chr5	178322890	178360416
ZNF454	chr5	178367828	178393649
GRM6	chr5	178404588	178423207
ZNF879	chr5	178450805	178462065
ZNF354C	chr5	178487362	178510978
ADAMTS2	chr5	178537854	178772462
ENSG00000251545	chr5	178949484	178952075
RUFY1	chr5	178977543	179037013
HNRNPH1	chr5	179041171	179061785
SPATA31J1	chr5	179068545	179085433
CBY3	chr5	179105561	179108035
CANX	chr5	179105629	179158642
MAML1	chr5	179159823	179204284
LTC4S	chr5	179220981	179223648
MGAT4B	chr5	179224597	179233979
SQSTM1	chr5	179233398	179265078
MRNIP	chr5	179262133	179289173
TBC1D9B	chr5	179289058	179334911
RNF130	chr5	179338651	179499113
RASGEF1C	chr5	179527795	179636225
MAPK9	chr5	179660143	179719099
GFPT2	chr5	179727682	179780339
CNOT6	chr5	179921334	180005401
SCGB3A1	chr5	180017105	180018499
FLT4	chr5	180028506	180076629
OR2Y1	chr5	180166123	180167058
MGAT1	chr5	180211780	180242652
ZFP62	chr5	180274611	180288285
BTNL8	chr5	180326077	180379164
BTNL3	chr5	180415846	180433727
BTNL9	chr5	180467225	180488524
OR2V1	chr5	180550122	180558169
OR2V2	chr5	180574586	180586285
TRIM7	chr5	180620924	180632293
TRIM41	chr5	180649499	180662808
RACK1	chr5	180663897	180675096
TRIM52	chr5	180681077	180689069
OR4F3	chr5	180794269	180795263
DUSP22	chr6	291630	351355
IRF4	chr6	391739	411443
EXOC2	chr6	485133	693169
HUS1B	chr6	655939	657100
FOXQ1	chr6	1312333	1314993
FOXF2	chr6	1389811	1395838
FOXC1	chr6	1610150	1614132
GMDS	chr6	1624028	2245936
MYLK4	chr6	2663863	2770564
WRNIP1	chr6	2765627	2787186
SERPINB1	chr6	2832566	2842235
SERPINB9	chr6	2887403	2903543
SERPINB6	chr6	2948392	2972609
NQO2	chr6	2988221	3022343
RIPK1	chr6	3064058	3115421
BPHL	chr6	3118608	3153833
TUBB2A	chr6	3153731	3157778
TUBB2B	chr6	3223558	3231964
PSMG4	chr6	3231637	3304254
SLC22A23	chr6	3269196	3457284
PXDC1	chr6	3722848	3751947
FAM50B	chr6	3849607	3851554
PRP4K	chr6	4021500	4065217
FAM217A	chr6	4049668	4087578
ECI2	chr6	4115919	4135831
CDYL	chr6	4706393	4955785
RPP40	chr6	4994951	5004297
PPP1R3G	chr6	5085575	5089721
LYRM4	chr6	5102829	5261183
FARS2	chr6	5261277	5829425
NRN1	chr6	5998232	6008921
F13A1	chr6	6144313	6321246
LY86	chr6	6588341	6655216
RREB1	chr6	7107651	7252215
SSR1	chr6	7268539	7347679
CAGE1	chr6	7326889	7389975
RIOK1	chr6	7389700	7418270
DSP	chr6	7541559	7586950
SNRNP48	chr6	7590422	7612200
BMP6	chr6	7726282	7881961
TXNDC5	chr6	7881673	7911244
BLOC1S5-TXNDC5	chr6	7881755	8064597
BLOC1S5	chr6	8013799	8064647
EEF1E1-BLOC1S5	chr6	8015959	8102763
EEF1E1	chr6	8073593	8102806
SLC35B3	chr6	8411668	8436216
TFAP2A	chr6	10393419	10419892
GCNT2	chr6	10492456	10629601
C6orf52	chr6	10671651	10695030
PAK1IP1	chr6	10694866	10711399
TMEM14C	chr6	10723148	10731365
TMEM14B	chr6	10747979	10852986
ENSG00000272162	chr6	10748027	10930656
MAK	chr6	10762956	10838786
GCM2	chr6	10873456	10882274
SYCP2L	chr6	10887064	10979553
ELOVL2	chr6	10980992	11044632
SMIM13	chr6	11094067	11138966
ENSG00000293642	chr6	11094427	11136063
ERVFRD-1	chr6	11102557	11112078
NEDD9	chr6	11183531	11382581
TMEM170B	chr6	11537981	11583757
ADTRP	chr6	11712287	11807279
HIVEP1	chr6	12008995	12165232
EDN1	chr6	12287692	12297427
PHACTR1	chr6	12716544	13290678
TBC1D7	chr6	13266774	13328815
GFOD1	chr6	13358062	13487894
SIRT5	chr6	13574442	13615390
NOL7	chr6	13615567	13634144
RANBP9	chr6	13621730	13712319
MCUR1	chr6	13786789	13814928
RNF182	chr6	13924677	13980541
CD83	chr6	14117487	14140913
JARID2	chr6	15245168	15522273
DTNBP1	chr6	15523038	15663289
MYLIP	chr6	16129317	16151598
GMPR	chr6	16238786	16296154
ATXN1	chr6	16299343	16761722
ENSG00000288708	chr6	16328573	16328662
STMND1	chr6	17102281	17131609
RBM24	chr6	17281592	17294102
CAP2	chr6	17393606	17558023
FAM8A1	chr6	17600533	17611950
NUP153	chr6	17614938	17707166
KIF13A	chr6	17759414	17987866
NHLRC1	chr6	18120671	18122908
TPMT	chr6	18128542	18155579
KDM1B	chr6	18155560	18224085
DEK	chr6	18224091	18266228
RNF144B	chr6	18387577	18469105
ID4	chr6	19837597	19842428
MBOAT1	chr6	20099915	20212700
E2F3	chr6	20402078	20493945
CDKAL1	chr6	20534678	21233086
SOX4	chr6	21593982	21598850
PRL	chr6	22287473	22303055
HDGFL1	chr6	22569795	22571895
NRSN1	chr6	24126382	24155128
DCDC2	chr6	24171983	24360477
MRS2	chr6	24403136	24426422
GPLD1	chr6	24424793	24495433
ALDH5A1	chr6	24495026	24537435
KIAA0319	chr6	24544332	24646419
TDP2	chr6	24650206	24667158
ACOT13	chr6	24667149	24705293
C6orf62	chr6	24705084	24721102
GMNN	chr6	24775120	24786331
ARMH2	chr6	24797563	24799145
ENSG00000282804	chr6	24797601	24810026
RIPOR2	chr6	24803590	25042398
CARMIL1	chr6	25279306	25620765
SCGN	chr6	25652429	25702011
ENSG00000290217	chr6	25652438	25738272
H2AC1	chr6	25723625	25726790
H2BC1	chr6	25727005	25727573
SLC17A4	chr6	25753528	25783544
SLC17A1	chr6	25781760	25832280
SLC17A3	chr6	25833294	25882706
SLC17A2	chr6	25907120	25931043
TRIM38	chr6	25963005	25991459
H1-1	chr6	26017260	26018015
H3C1	chr6	26020679	26021715
H4C1	chr6	26021877	26023075
HIST1H4B	chr6	26027124	26027480
H3C2	chr6	26031817	26032327
H2AC4	chr6	26033320	26033846
H2BC3	chr6	26042999	26043941
H3C3	chr6	26045612	26046097
H1-2	chr6	26054988	26056698
H2BC4	chr6	26086545	26124244
HFE	chr6	26087454	26098571
H4C3	chr6	26104161	26104565
H1-6	chr6	26107640	26108363
H2AC6	chr6	26124373	26139344
H1-4	chr6	26156557	26157343
H2BC5	chr6	26158350	26171577
H2BC6	chr6	26172287	26184883
H4C4	chr6	26188938	26189340
H3C4	chr6	26195392	26197514
ENSG00000282988	chr6	26195823	26199521
H2AC7	chr6	26199012	26199521
H4C5	chr6	26204838	26205249
H2AC8	chr6	26217149	26218743
H3C6	chr6	26224427	26227701
H1-3	chr6	26234440	26235215
H4C7	chr6	26246839	26247224
H3C7	chr6	26250370	26250863
H2BC9	chr6	26251842	26252303
H3C8	chr6	26271146	26271641
H2BC10	chr6	26273159	26273640
H4C8	chr6	26277837	26285866
BTN3A2	chr6	26365387	26383025
BTN2A2	chr6	26383320	26395108
BTN3A1	chr6	26402465	26415444
BTN3A3	chr6	26440680	26453650
BTN2A1	chr6	26458132	26476849
BTN1A1	chr6	26500531	26510653
HMGN4	chr6	26538579	26547165
ABT1	chr6	26597181	26600967
ZNF322	chr6	26634611	26659987
H2BC11	chr6	27090436	27100574
H2AC11	chr6	27100822	27103071
H2BC12	chr6	27105077	27114636
H4C9	chr6	27107061	27108419
H2AC12	chr6	27114885	27115341
PRSS16	chr6	27215480	27224425
POM121L2	chr6	27253682	27280052
ZNF391	chr6	27342394	27372805
ZNF184	chr6	27418522	27440920
H2BC13	chr6	27775257	27775707
H2AC13	chr6	27775951	27776445
H3C10	chr6	27777829	27779078
H2AC14	chr6	27782080	27782555
H2BC14	chr6	27782800	27783267
H4C11	chr6	27791870	27792258
H4C12	chr6	27798696	27799338
H2AC15	chr6	27803286	27806153
H2BC15	chr6	27806323	27823487
H2AC16	chr6	27833095	27833576
H1-5	chr6	27834570	27835366
H3C11	chr6	27839623	27840124
H4C13	chr6	27840926	27841312
H3C12	chr6	27858093	27860884
H2AC17	chr6	27860477	27860963
H2BC17	chr6	27861203	27861669
OR2B2	chr6	27878963	27880174
OR2B6	chr6	27925019	27925960
OR2B8	chr6	28021006	28021943
ZNF165	chr6	28048346	28057341
ZSCAN16	chr6	28075467	28097860
ZKSCAN8	chr6	28109510	28127239
ZKSCAN8P1	chr6	28129547	28137372
ZSCAN9	chr6	28192664	28201265
ZKSCAN4	chr6	28209475	28220702
NKAPL	chr6	28227075	28228736
ZSCAN26	chr6	28234836	28246001
ENSG00000276302	chr6	28234899	28249357
PGBD1	chr6	28249270	28271468
ZSCAN31	chr6	28292470	28324048
ZKSCAN3	chr6	28317688	28336949
ZSCAN12	chr6	28346598	28367524
ZSCAN23	chr6	28393098	28411279
GPX6	chr6	28471073	28495992
GPX5	chr6	28493658	28502732
SCAND3	chr6	28538312	28583989
TRIM27	chr6	28870779	28891765
ZNF311	chr6	28961817	28973425
OR2W1	chr6	29011990	29012952
OR2B3	chr6	29053985	29055090
OR2J1	chr6	29067267	29070478
OR2J3	chr6	29075835	29082547
OR2J2	chr6	29138684	29143588
OR14J1	chr6	29269478	29280794
OR5V1	chr6	29321526	29399744
OR12D3	chr6	29341200	29343068
OR12D2	chr6	29363408	29365785
OR12D1	chr6	29382705	29386682
OR11A1	chr6	29393281	29424848
OR10C1	chr6	29407083	29408754
OR2H1	chr6	29424932	29432105
MAS1L	chr6	29454474	29455733
OR2I1	chr6	29518184	29525550
UBD	chr6	29523292	29527509
GABBR1	chr6	29523406	29601753
OR2H2	chr6	29552898	29558277
MOG	chr6	29624375	29642208
ZFP57	chr6	29640260	29648932
HLA-F	chr6	29690515	29706305
HLA-G	chr6	29794744	29798902
HLA-A	chr6	29909037	29917349
POLR1H	chr6	30026676	30032686
PPP1R11	chr6	30034486	30038110
RNF39	chr6	30038043	30043626
TRIM31	chr6	30070663	30080867
TRIM40	chr6	30103805	30119369
TRIM10	chr6	30119720	30128988
TRIM15	chr6	30130971	30140937
TRIM26	chr6	30152223	30181212
TRIM39	chr6	30293657	30312042
TRIM39-RPP21	chr6	30296684	30314631
RPP21	chr6	30312902	30314661
HLA-E	chr6	30457280	30461982
GNL1	chr6	30509158	30524380
PRR3	chr6	30525051	30531500
ABCF1	chr6	30539170	30564956
PPP1R10	chr6	30568177	30586389
MRPS18B	chr6	30585600	30594175
ATAT1	chr6	30594619	30614612
C6orf136	chr6	30614810	30620987
DHX16	chr6	30620896	30640790
PPP1R18	chr6	30644166	30655672
NRM	chr6	30655824	30659197
MDC1	chr6	30667584	30685339
TUBB	chr6	30685212	30693315
FLOT1	chr6	30695486	30710852
IER3	chr6	30710976	30712327
DDR1	chr6	30844198	30868755
GTF2H4	chr6	30875299	30881896
VARS2	chr6	30881982	30894261
SFTA2	chr6	30899130	30923413
ENSG00000310558	chr6	30902300	30906601
MUCL3	chr6	30908750	30921998
MUC21	chr6	30951495	30957680
MUC22	chr6	30978251	31003179
C6orf15	chr6	31079000	31080352
PSORS1C1	chr6	31082527	31107869
CDSN	chr6	31082864	31088223
PSORS1C2	chr6	31105311	31106843
CCHCR1	chr6	31110216	31126015
TCF19	chr6	31126108	31134936
POU5F1	chr6	31132114	31148508
HLA-C	chr6	31236526	31239907
HLA-B	chr6	31321644	31334844
MICA	chr6	31367561	31383092
MICB	chr6	31462658	31478901
MCCD1	chr6	31496739	31498009
DDX39B	chr6	31497995	31510228
ATP6V1G2-DDX39B	chr6	31497996	31514385
ATP6V1G2	chr6	31512221	31516204
NFKBIL1	chr6	31514647	31526606
LTA	chr6	31539831	31542101
TNF	chr6	31543342	31546113
LTB	chr6	31548302	31550299
LST1	chr6	31553901	31556687
NCR3	chr6	31556672	31560994
AIF1	chr6	31582994	31584798
PRRC2A	chr6	31588492	31605548
ENSG00000291302	chr6	31590551	31590637
ENSG00000289282	chr6	31591651	31593276
BAG6	chr6	31606321	31620524
APOM	chr6	31620193	31625987
C6orf47	chr6	31626075	31628555
GPANK1	chr6	31629005	31634060
CSNK2B	chr6	31633004	31638120
ENSG00000263020	chr6	31633879	31641323
LY6G5B	chr6	31637753	31641553
LY6G5C	chr6	31644461	31651817
ABHD16A	chr6	31654731	31671133
LY6G6F	chr6	31674643	31678456
LY6G6F-LY6G6D	chr6	31674681	31685695
LY6G6D	chr6	31683125	31685696
MPIG6B	chr6	31686371	31694491
LY6G6C	chr6	31686425	31689523
DDAH2	chr6	31694815	31698394
CLIC1	chr6	31698358	31708335
MSH5	chr6	31707454	31730453
MSH5-SAPCD1	chr6	31707797	31732628
SAPCD1	chr6	31730433	31732628
VWA7	chr6	31733367	31745105
VARS1	chr6	31745295	31763727
LSM2	chr6	31765169	31774764
HSPA1L	chr6	31777396	31783565
HSPA1A	chr6	31783320	31785771
HSPA1B	chr6	31795515	31798031
NEU1	chr6	31824840	31830682
SLC44A4	chr6	31830969	31846975
EHMT2	chr6	31847535	31865500
C2	chr6	31865562	31913451
ZBTB12	chr6	31867390	31869863
ENSG00000244255	chr6	31895475	31919825
CFB	chr6	31913427	31919863
NELFE	chr6	31919864	31926815
SKIC2	chr6	31926893	31937629
DXO	chr6	31937587	31940286
WHR1	chr6	31938868	31950598
C4A	chr6	31949768	31972654
AL645922.1	chr6	31973945	31974881
C4B	chr6	31982507	32003750
CYP21A2	chr6	32006075	32010098
TNXB	chr6	32008930	32083111
ATF6B	chr6	32083041	32096030
FKBPL	chr6	32096474	32098847
PPT2	chr6	32114357	32131456
PRRT1	chr6	32116100	32120860
ENSG00000285085	chr6	32118272	32122150
PPT2-EGFL8	chr6	32121622	32139755
EGFL8	chr6	32131695	32136230
AGPAT1	chr6	32135982	32145873
RNF5	chr6	32146182	32148570
AGER	chr6	32148740	32152121
PBX2	chr6	32152510	32157979
GPSM3	chr6	32158543	32163300
NOTCH4	chr6	32162620	32191888
TSBP1	chr6	32256303	32339684
BTNL2	chr6	32361116	32374958
HLA-DRA	chr6	32407649	32412824
HLA-DRB5	chr6	32485122	32498146
HLA-DRB1	chr6	32545679	32557625
HLA-DQA1	chr6	32595956	32614839
HLA-DQB1	chr6	32627244	32636160
HLA-DQA2	chr6	32709168	32714975
HLA-DQB2	chr6	32723871	32731320
HLA-DOB	chr6	32780540	32788243
ENSG00000250264	chr6	32781544	32806599
TAP2	chr6	32789610	32806561
PSMB8	chr6	32808494	32812456
PSMB9	chr6	32811913	32828511
TAP1	chr6	32812983	32821795
HLA-DMB	chr6	32902406	32908831
ENSG00000248993	chr6	32905141	32920899
HLA-DMA	chr6	32916390	32936871
BRD2	chr6	32936371	32949282
HLA-DOA	chr6	32971955	32977371
HLA-DPA1	chr6	33032346	33048558
HLA-DPB1	chr6	33041563	33057473
COL11A2	chr6	33130458	33160543
RXRB	chr6	33161365	33168443
SLC39A7	chr6	33168082	33172216
HSD17B8	chr6	33172408	33174608
RING1	chr6	33176268	33180499
VPS52	chr6	33218049	33239824
RPS18	chr6	33239852	33244288
